name,bulletin_number,effective_date,states_involved,property_type,collect_deductible,esl,estimating_software,pricing,customer_service_contacts,special_conditions
Bunker Hill Insurance - Water Mitigation,3640-SF,3/15/2010,"U.S. Franchises in CT, MA ",R,Yes,"2,500 ",Xactimate,Use the most current price list provided by Xactimate® for your area.,"Bob Morgan, Property Claims Supervisor
Phone: 617-956-1791",
Bunker Hill Insurance Fire and Smoke Mitigation Program,4177SF,10/4/2012,"U.S. Franchises in CT, MA - Special selection criteria includes a minimum monthly average of $10,000 in fire and smoke work performed for a rolling 12-month period.",R,Check with Adjuster,"3,000 ",Xactimate,Utilize the most current contractor profile in Xactimate for your area. Base Service Charges only w/Adjuster approval.,"Customer Service, Available Mon-Fri 8am- 5pm, Phone 866-322-2442 - Bob Morgan, Property Claims Supervisor, Phone (617)956-1791","Upon receipt of job referral, notify Bunker Hill of Franchise name and phone number that is assigned to the loss. See bulletin for all other requirements."
California Casualty Insurance,3629-F,3/3/2010,All U.S. States,R,Yes,"2,500 ",Scanner or Xactimate,Use the most current price list for your area.,"During normal business hours, contact the California Casualty Adjuster assigned to the claim. For after-hours, refer to Contact Numbers attached to the bulletin.",
Cameron Insurance Companies (Cameron Mutual),3854-SF-2,11/10/2014,"U.S. Franchises in AR, IA, MO",R & C,Yes,"2,500 ",Xactimate,Use the most current price list provided by Xactimate for your area.,Claims Phone 816-632-6511                Kent Peterson 573-442-6441;          cell 660-888-2290                                 Craig Koenig 417-881-1176                                             ,"Cameron Insurance Companies will issue the check payable to mortgagee, insured, and the Franchise and mail to the Franchise within 30 days."
Campmed Cas. and Indemnity Co. Inc. of MD (subsidiary of Hanover Insurance),4635-F-3,8/24/2015,All U.S. States,R,yes,"3,000 ","Xactimate, Version 28",Use the most current price list provided by Xactimate for your area.,"Contact water mitigation specialist assigned to the file; if not available, Water Mit. Dept. at 800-628-0250 or e-mail to hanovermit@hanover.com.      After hours:  AL, FL, GA, KY, MD, NC, SC, TN, VA: 508-855-4235;        MA, CT, RI: 508-855-4237;        ME, NH, VT: 508-855-4238;        DE, NJ, NY, PA, WV: 508-855-4245;        AR, KS, LA, MO, ND, OK, SD, TX: 508-855-4243;        IA, MN, WI, and Michigan Area Codes of 248,313,586,734,810:  517-540-3280;        IN,IL,OH,AK,AZ,CA,CO,HI,ID,MT, NV, NM, OR, UT, WA, WY, Western Canada, and Michigan Area Codes of 269,906,231,616,517,989:  517-540-4811",THIS IS A SNAPA ACCOUNT.  Notes must be entered inDryBook.  Initial upload required.  See bulletin for other requirements.
Carolina Motor Club (AAA of Carolina Group),4493-SF,1/31/2014,"U. S. Franchises in NC, SC",R,"No, unless otherwise instructed by the Adjuster.",,Xactimate,Use the most current price list provided by Xactimate for your area.,"1-800-974-1222 (Joanne Marinaro, Claims Manager; 704-569-7881 (Danielle Murphy)","Verbal briefing to AAA Carolina rep or adjuster same business day, or at maximum, 24 hours of referral of claim, to include overview of job, any unusual circumstancesthat would allow AAA of Carolina to assess scope or severity of water and estimated total damages. If unable to meet guidelines, notify SERVPRO Call Center. Desiccant Dehus, Air Scrubbers, Injectidry Systems or other floor-drying systems require prior adjuster approval. Notify/get adjuster approval for: source not known or not from plumbing system insdide the home, customer service issure, pre-existing damage. If Category 1 loss changes to Category 2 or 3; if affected flooring continues through other unaffected rooms, supplements to the water-mitigation job.  Sketch/Dimennsioning: measure to the inch."
Casco Indemnity (subsidiary of Ohio Mutual),4488-SF,1/24/2014,"CT, IN, ME, NH, OH, RI, VT",R & C,yes,"2,500 ",Xactimate,Current price list,"1-800-686-3011, Option 6",
"CastlePoint National Ins. Co. (subsidiary of Wellington Claim Service, Inc.)",4916-SF,3/28/2016,TX,R & C,yes,"2,500 ",Xactimate,Current price list,800-447-6465 or 817-738-1878,
Catholic Mutual,3860-F-2,12/7/2015,All U.S. States,C,Yes," 5000; if expected to exceed $5,000 call one of the contacts listed. ","Excluding subcontract work:  $100,000 or less, use Xactimate; over $100,000, use T&M.","If Xactimate, use most current price list provided by Xactimate for your area.  If T&M, use most current price list for T&M.","1-800-228-6108                                                                                  Mark Greenwald ext. 2406                                                       Travis Unzicker ext. 2410                                                               Tony Laughlin ext 2409                                                                 After Hours: Mark Greenwald, 402-415-7185                    Also, see contact list attached to bulletin.",
Centauri Insurance,4260-SF-2,2/26/2013,"U.S. Franchises in AL, FL, LA, MS, SC, TX",R,NO,"2,500 ",Xactimate,Use the most current price list provided by Xactimate for your area. Base Services Charges must be approved by adjuster.,"Claims (toll free): 1-866-215-7574 (24 hours a day, 7 days a week)
Tom Cattell, Claims Supervisor, 1-866-215-7574, ext. 2321",
Central Insurance (Central Mutual),4162SF,9/10/2012,"U. S. Franchises in AZ, CO, CT, GA, IL, IN, MA, MI, NC, NH, NM, NY, OH, OK, SC, TN, TX, VA",R & C,Yes,"5,000 ","Excluding subcontract work:  $100,000 or less, use Xactimate; over $100,000, use T&M.","If Xactimate, use most current price list provided by Xactimate for your area.  If T&M, use most current price list for T&M.","Claims Dept. 888-263-2924  (IL, IN, MI, OH)419-238-1010;  (CT, MA, NH, NY)781-890-1752;  (GA, NC, SC, TN, VA)770-740-8000; (AZ, CO, NM, OK, TX)972-401-3400",
Chartis Private Client Group/AIG Private Client Group/AIU,3644-SF,3/30/2010,"U.S. Franchises in DC, DE, MD, NJ, NY, PA & VA",R,NO,"10,000 ",Xactimate,Use the most current price list provided by Xactimate® for your area.,"Herbert Bailey/Property Manager -908-679-2949, David Lenci/Claims Supervisor - 908-679-2651",Booties or protective footwear must be worn at all times while in the customer dwelling.
Chicago Insurance (Subsidiary of Fireman's Fund),3780-F,11/1/2010,All U.S. States,R & C,"NO.  Any coverage issues must be discussed with adjuster, not the insured.","2,500 ","Xactimate for these states:  CT, DE, DC, ME, MD, MA, NH, NJ, NY, PA, RI, VT, VA.                                                ScanER for all other states.  If adjuster requests Xactimate, contact National Accounts for approval.","For Xactimate: Use the most current price list provided by Xactimate for your area.                       For ScanER, use Trainer regional price list.","1) Assigned Adjuster
2) Fireman’s Fund: Phone 800-870-8857
","SNAPA Acct.  Fireman's Fund ATP must be used  (attached to bulletin 3780-F; also on ServproNET/SNAPA/Fireman's Fund/Forms). Add'l reasons to notify adjuster: If mitigation losses exceed : personal $20,000; commercial $50,000. If material is unique (bamboo, custom, expensive, etc.), whoe-house content manipulation, inability to service loss (due to size, complexity, etc.). Use DRYING WORKBOOK."
Chubb Group,3392-F,11/4/2008,All U.S. States,R,"Collect the deductible for mitigation-only losses. Losses requiring more tha mitigation, Chubb will appply the deductible elsewhere on the claim.","7,500 ",Xactimate,Use the most current price list provided by Xactimate for your area.,"Assigned adjuster; if unknown, contact 1-800-252-4670 ext. 4670 to request assigned adjuster.",Use ATP #28001.    Do not use ATP #28000.
Church of Jesus Christ of Latter-day Saints,3816-F,12/30/2010,All U.S. States,C,Not applicable,"5,000 ","Excluding subcontract work:  $100,000 or less, use Xactimate; over $100,000, use T&M.","If Xactimate, use most current price list provided by Xactimate for your area.  If T&M, use most current price list for T&M.","Business Hours: Dylan MacLeod at Sedgwick, Phone 801-258-9715                                                 After Hours: Frontier Adjusters: Ray Basham, Matt Basham, or Mike Basham:  800-599-8926 or 801-599-8926","No smoking or alcoholic beverages within 1,000 ft. of any ward/church/temple. Communicate/coordinate with Facilities Manager on site at each church-owned location. Any potential subrogation, immediately notify Dylan MacLeon at Sedgwick. Notify Facilites Mgr. immediately if work is to be performed on  a Sunday. Seek prior approval from Facilities Mgr. for on-site storage containers or move-outs."
Church Mutual Insurance,3697-F,6/14/2010,All U.S. States,R & C,Yes,"2,500 ",Xactimate,Use the most current price list provided by Xactimate® for your area.,1-800-554-2642,
Cincinnati Insurance Company,4093-SF,5/23/2012,"U.S. Franchises in AL, AZ, AR, CO, CT, DE, FL, GA, ID , IL, IN, IA, KS, KY, MD, MI, MN, MO, MT, NE, NH, NM, NY, NC, ND, OH, OR, PA, SC, SD, TN, TX, UT, VT, VA, WA, WV, WI, WY.",R & C,Yes,"2,500 ",Xactimate,Use the most current price list provided by Xactimate for your area.,"Contact the assigned Claim Representative or Agent. If unknown, call 877-242-2544",
Citizens Mutual Insurance (affiliate of Columbia Insurance),4277-SF,2/28/2013,"U.S. Franchises in AL, FL, GA, IL, IA, KS, KY, LA, MS, MO, NE, NM, NC, OK, SC, SD, TN, TX",R & C,Yes,"2,500 ",Xactimate,Use the most current price list provided by Xactimate for your area.,"During Business Hours: Call Assigned Adjuster or one of these branch offices: Atlanta, GA, 800-767-4080;  Austin, TX, 800-252-9641;  Columbia, MO, 800-877-3579;  Omaha, NE, 800-877-4245;  Salina, KS, 800-998-8902
After-Hours: John Killough, Phone 615-426-2664 (AFG Claims Service)","Contact Columbia Ins. Adjuster immediately in these cases: If insured wants to delay any part of the 1/4/8 procedure for an after-hours assignment; if an insured wants to cancel the claim prior to inspection; if an insured want to cancel the claim during initial deployment. Complete as much of Initial Report as possible. Take photos of risk if allowable by policyholder.  Protect salvageable items and leave on site. If removal is necessary, communicate with adjuster. Secure and leave undisturbed any area where cause and origin of loss by suspected subrogation."
CMI Lloyds (subsidiary of Central Insurance),4162SF,9/10/2012,"U.S. Franchises in AZ, CO, CT, GA, IL, IN, MA, MI, NC, NH, NM, NY, OH, OK, SC, TN, TX, VA",R & C,Yes,"5,000 ","Excluding subcontract work:  $100,000 or less, use Xactimate; over $100,000, use T&M.","If Xactimate, use most current price list provided by Xactimate for your area.  If T&M, use most current price list for T&M.","Claims Dept. 888-263-2924  (IL, IN, MI, OH)419-238-1010;  (CT, MA, NH, NY)781-890-1752;  (GA, NC, SC, TN, VA)770-740-8000; (AZ, CO, NM, OK, TX)972-401-3400",
CNA Commercial Insurance,4581-F,7/14/2014,All U.S. States,C,Do not collect deductibles unless directed to do so by CNA Claims Rep., NA ,"Excluding subcontract work:  $50,000 or less, use Xactimate; over $50,000, use CNA T&M CONTRACTED PRICING.","If Xactimate, use most current price list provided by Xactimate for your area.  If T&M, use most CNA CONTRACTED T&M PRICING.",1-877-262-2727,"If Franchise is not LLRT or ERT qualified, contact SERVPRO Commercial Large Loss Dept. for jobs that will exceed $50,000, less subcontract. Contact policyholder within 30 min. of receipt of referral. If contact cannot be made with customer within one hour, contact CNA rep. by phone or fax. Contact adjuster if contents cleaning or packout is probable, if plumbing leakage appears to have occurred over more than a 24hr. period, if disposal of any personal property items owned or controlled by insured. if utilization of subcontractor for non-mitigation services (safety fencing, dumpsters, portable toilets, security guards, etc.). Follow Code of Conduct attached to the bulletin. Franchisees will have multi-lingual capabilities available when needed at local level. Seek prior approval from CNA if additional multi-lingual services are required to complete services."
Colonial American Cas. And Surety (Subsidiary of Zurich),4601-F,9/5/2014,Franchises in all U.S. States,C,yes, No ESL established ,"Xactimate for all losses estimated at less than $50,000, excluding subcontract.  Time and Materials for all losses estimated at more than $50,000, excluding subcontract.",Xactimate: Use Zurich Xactimate Profile.    Time and Materials: Use T & M Price List attached to Bulletin #4601-F.,"Amy Chiarelli, Vendor Program Manager, phone 847-413-5705",THIS IS A SNAPA ACCOUNT.
Colorado Casualty,3752-F,9/7/2010,Only Participating Franchises,R,Yes,"2,500 ",Xactimate,Current price list,1-888-298-3778,SNAPA Acct.  Refer to bulletin
Colorado Casualty,4034-F-2,7/28/2014,All U. S. States,C,"No, unless instructed by adjuster.","5,000 ","Under 100,000-Xactimate  Over 100,000-T&M with adjuster approval",Current price list,1-888-298-3778,SNAPA Acct.  Refer to bulletin
"Columbia Insurance (Columbia Mutual, Columbia National)",4277-SF,2/28/2013,"U.S. Franchises in AL, FL, GA, IL, IA, KS, KY, LA, MS, MO, NE, NM, NC, OK, SC, SD, TN, TX",R & C,Yes,"2,500 ",Xactimate,Use the most current price list provided by Xactimate for your area.,"During Business Hours: Call Assigned Adjuster or one of these branch offices: Atlanta, GA, 800-767-4080;  Austin, TX, 800-252-9641;  Columbia, MO, 800-877-3579;  Omaha, NE, 800-877-4245;  Salina, KS, 800-998-8902
After-Hours: John Killough, Phone 615-426-2664 (AFG Claims Service)","Contact Columbia Ins. Adjuster immediately in these cases: If insured wants to delay any part of the 1/4/8 procedure for an after-hours assignment; if an insured wants to cancel the claim prior to inspection; if an insured want to cancel the claim during initial deployment. Complete as much of Initial Report as possible. Take photos of risk if allowable by policyholder.  Protect salvageable items and leave on site. If removal is necessary, communicate with adjuster. Secure and leave undisturbed any area where cause and origin of loss by suspected subrogation."
"Companion Commercial Ins. (subsidiary of Wellington Claim Service, Inc.)",4916-SF,3/28/2016,TX,R & C,yes,"2,500 ",Xactimate,Current price list,800-447-6465 or 817-738-1878,
"Companion Property & Casualty Ins. Co. (subsidiary of Wellington Claim Service, Inc.)",4916-SF,3/28/2016,TX,R & C,yes,"2,500 ",Xactimate,Current price list,800-447-6465 or 817-738-1878,
Connecticut Conference of Municipalities/Connecticut Interlocal Risk Management Agency (CIRMA),3405-SF,11/10/2008,U.S. Franchises in CT,C,does not apply,"5,000 ",Xactimate,Use the most current price list provided by Xactimate for your area.,Brenda Gillis 203-946-3751    Bruce Clinger 203-946-3749,
COUNTRY Mutual/COUNTRY PREFERRED/COUNTRY CASUALTY,3808-SF,12/20/2010,U.S. Franchises in OR and Southwest WA,R & C,"No; however, discuss with adjuster if loss appears to be mitigation only."," R - $2,500                        C - $5,000 ",Xactimate,Use the most current price list provided by Xactimate for your area.,"1) Assigned Adjuster
2) Charles Strube, Claims Supervisor, Phone 503-723-6311
3) 1-866-COUNTRY (1-866-268-6879).","Use Drying Workbook on Residential, Monitoring/Inspectiion Report on Commercial. Packout, Contents Cleaning, or Demolition requires prior adjuster approval. If after hours, only demo which is immediately necessary as part of initial drying plan shoud be performed."
Cumberland Insurance Group - Water/Fire/Smoke Mitigation,4066-SF-2,7/21/2014,"U.S. Franchises in DE, MD, NJ, PA",R & C,NO," R-$2,500                         C - $10,000; cannot exceed ESL without approval. ","Xactimate, if loss is considered to be $100,000 or less, excluding subcontract work.  Time & Materials, if loss is considered to be greater than $100,000, excluding subcontract work. Adjuster must be notified if job will exceed $100,000 and document in job file.","For Xactimate, use most current price list provided by Xactimate for your area.  For Time  Materials, use most curent T & M Price List.","New Jersey: 1-866-794-6398 Pennsylvania, Maryland, Delaware: 1-866-794-6399","Notify Adjuster/Analyst if packout will exceed $2,000,  and prior to any demoliton. Use Drying Workbook on water mitigation jobs and on fire jobs that require water mitigation.  USE AUTHORIZATION TO PERFORM SERVICES FORM 28001. Upload local jobs.  SEE BULLETIN FOR SPECIFIC INSTRUCTIONS ON WATER, FIRE, AND COMMERCIAL JOBS."
Cumberland Insurance Group - Fire/Smoke,4178-SF,10/4/2012,"U.S. Franchises in DE, MD, NJ, PA - Special selection criteria includes a minimum monthly average of $10,000 in fire and smoke work performed for a rolling 12-month period.",R & C,NO," R $2,500                                     C $10,000 ","Xactimate, if loss is considered to be $100,000 or less, excluding subcontract work.  Time & Materials, if loss is considered to be greater than $100,000, excluding subcontract work. Adjuster must be notified if job will exceed $100,000 and document in job file.","For Xactimate, use most current price list provided by Xactimate for your area.  For Time  Materials, use most curent T & M Price List.","New Jersey: 1-866-794-6398 Pennsylvania, Maryland, Delaware: 1-866-794-6399","Upon receipt of job referral, notify Cumberland Insurance of Franchise Name and Phone Number that is assigned to the loss. Take pictures of cause and origin of fire if possible.  Do not exceed $10,000 without adjuster approval. Obtain adjuster approval if packout will exceed $2,000. If demolition will be involved. If Bric-a-Brac involved, take photos before removing items from original location. Make inventory list that identifies box number and contents."
Cypress Property & Casualty / Cypress Texas Lloyds,3966-SF,9/2/2011,"U.S. Franchises in FL, TX",R,"Yes, if mitigation only.  If structure or contents involved, contact Adjuster to have deductible applied to that portion of claim.","3,500 ",Xactimate,Most current price list provided by Xactimate for your area,"Florida Customers call 1-888-352-9773
Texas Customers call 1-888-892-9773",No Mold remediation wil be performed until Representative/Adjuster has reviewed loss. Get written adjuster approval prior to starting mold remediation services.
Danbury Insurance Company (subsid. Of New London County Mutual),4141-SF,8/24/2012,"U. S. States of CT, ME, MA, NH, RI",R & C,No," R = 2,500 ESL;       C = 10,000 NTE; for Commercial, do not exceed the NTE without adjuster approval. ","Xactimate, if loss is considered to be $100,000 or less, excluding subcontract work.  Time & Materials, if loss is considered to be greater than $100,000, excluding subcontract work.","For Xactimate, use most current price list provided by Xactimate for your area.  For Time  Materials, use most curent T & M Price List.","Larry Lentine, 860-887-3553 x 4346","Use Drying Workbook. Take readings daily.  Obtain adjuster approval to monitor on holidays and weekends. Do not use ITEL or any other vendor without approval of New London County Insurance Adjuster. Additional conditions to notify adjuster: 1) if packout will exceed $2,000; 2) prior to any demolition."
Electric Insurance - Water/Fire/Smoke Mitigation,4087-F-2,5/23/2014,"All U. S. States - Special selection criteria includes a minimum monthly average of $10,000 in fire and smoke work performed for a rolling 12-month period.",R,No. Will be applied elsewhere on claim. Adjuser will notify Franchise within 72 hours on how to apply deductible.," Water $2,500;   Fire $5,000 ","Xactimate, if loss is considered to be $100,000 or less, excluding subcontract work.       Time & Materials, if loss is considered to be greater than $100,000, excluding subcontract work.","For Xactimate, use most current price list provided by Xactimate for your area.  For Time  Materials, use most curent T & M Price List.",1-800-342-5342,"Adjuster approval: if packout will exceed $2,000; prior to any demolition, if unable to do Initial Upload with 2 business days from dispatch.  See bulletin for other important information."
Empire Fire & Marine (Subsidiary of Zurich),4601-F,9/5/2014,Franchises in all U.S. States,C,yes, No ESL established ,"Xactimate for all losses estimated at less than $50,000, excluding subcontract.  Time and Materials for all losses estimated at more than $50,000, excluding subcontract.",Xactimate: Use Zurich Xactimate Profile.    Time and Materials: Use T & M Price List attached to Bulletin #4601-F.,"Amy Chiarelli, Vendor Program Manager, phone 847-413-5705",THIS IS A SNAPA ACCOUNT.
Empire Indemnity (Subsidiary of Zurich),4601-F,9/5/2014,Franchises in all U.S. States,C,yes, No ESL established ,"Xactimate for all losses estimated at less than $50,000, excluding subcontract.  Time and Materials for all losses estimated at more than $50,000, excluding subcontract.",Xactimate: Use Zurich Xactimate Profile.    Time and Materials: Use T & M Price List attached to Bulletin #4601-F.,"Amy Chiarelli, Vendor Program Manager, phone 847-413-5705",THIS IS A SNAPA ACCOUNT.
Encompass Insurance Company,4245-F-3,3/23/2015,All U.S. States,R,No, No ESL established ,Xactimate 28,Use the most current price list provided by Xactimate® for your area.,See Bulletin for contact information for each region,"SNAPA Acct.   Encompass does NOT allow notes in the Opening Statement of the Estimate. All notes must be
input into the Job Diary of the DryBook AND Xactanalysis Notes."
Enumclaw Insurance Group,3865-SF,3/29/2011,"U.S. Franchises in ID, OR, UT, WA",R & C,Yes,"2,500 ",Xactimate,Use the most current price list provided by Xactimate for your area.,"Tim Engman, Mutual of Enumclaw
Phone: 360-825-2591, ext. 3254
800-366-5551                                                                                                 If safety or health issues or cause of loss is different than reported, contact After Hours Line 866-924-3036",Adjuster approval is required for packout or contents cleaning or demolition.
Erie Insurance - Residential,3842-SF,6/21/2011,"U.S. Franchises in DC, IL, IN, MD, NC,
NY, OH, PA, TN, VA, WI, & WV",R,Yes,"2,500 ",ScanER,Utilize local pricing for your area.,"Contact assigned adjuster. If unknown, call Erie Ins. 24/7 line:  1-800-367-3743","If contents are removed, provide a detailed inventory list to Erie Insurance. Notify adjuster if contents cleaning is likely or loss requires use of large desiccant dehumidifiers."
Erie Insurance - Commercial and Large Loss,3843-SF,6/21/2011,"U.S. Franchises in DC, IL, IN, MD, NC,
NY, OH, PA, TN, VA, WI, & WV",Commercial and Large Loss,Yes," $5,000 fire and/or water ","ScanER for Commercial Water Jobs;  Xactimate for Commercial Fire Jobs (water mitigation performed solely as a result of a Commercial Fire job should be included in one Xactimate estimate).  Jobs with initial scope reserve under $100,000 will be done in Xactimate.  At time of initial inspection, if job is determined to exceed $100,000, excluding subcontract work, use Time and Material Pricing.",Use most current list for your area.,"If contents are removed, provde a detailed inventory list to Erie. ",
Farmers Casualty (affiliate of State Auto),4102-F,5/30/2012,All U.S. States,R & C,Yes,"2,500 ",Xactimate,Use the most current price list provided by Xactimate for your area.,24-hour contact center phone: 800-766-1853,
Farmers Mut. Fire Ins. Co. of Salem County,4915-SF,2/22/2016,"MD, NJ",R & C,yes,"2,500 ",Xactimate,Use the most current price list provided by Xactimate for your area.,"Hours:  8:00am-4:00pm, Mon.-Fri.          Claims:  800-498-0954                                  After Hours:  609-579-0300  ",
FCCI Insurance,2925-SF,3/9/2005,"U.S. Franchises in AL, AR, FL, GA, IL, IN, KY, LA, MI, MS, NC, OH, SC, TN",C,Yes,"2,500 ",ScanER,Use most current list for your area.,800-226-3224,
Federated Insurance - Revision,4007-F-3,6/1/2015,All U.S. States,R & C,Yes," R  $2,500                             C  $5,000 ",Xactimate,Use the most current price list provided by Xactimate for your area.,"Contact local adjuster; if unknown, call 1-888-333-4949.",
Fidelity and Deposit Company of Maryland (Subsidiary of Zurich),4601-F,9/5/2014,Franchises in all U.S. States,C,yes, No ESL established ,"Xactimate for all losses estimated at less than $50,000, excluding subcontract.  Time and Materials for all losses estimated at more than $50,000, excluding subcontract.",Xactimate: Use Zurich Xactimate Profile.    Time and Materials: Use T & M Price List attached to Bulletin #4601-F.,"Amy Chiarelli, Vendor Program Manager, phone 847-413-5705",THIS IS A SNAPA ACCOUNT.
Fireman’s Fund Insurance Company,3780-F-2,7/21/2014,All U.S. States,R & C,"NO.  Any coverage issues must be discussed with adjuster, not the insured.","2,500 ",Xactimate for all U.S. States,For Xactimate: Use the most current price list provided by Xactimate for your area.,"1) Assigned Adjuster
2) Fireman’s Fund: Phone 800-870-8857
","SNAPA Acct.  Fireman's Fund ATP must be used  (attached to bulletin 3780-F; also on ServproNET/SNAPA/Fireman's Fund/Forms). Add'l reasons to notify adjuster: If mitigation losses exceed : personal $20,000; commercial $50,000. If material is unique (bamboo, custom, expensive, etc.), whoe-house content manipulation, inability to service loss (due to size, complexity, etc.). Use DRYING WORKBOOK."
First American Specialty/First American Property & Casualty,3407-F-3,7/20/2015,All U.S. States,R,No," $2500         When exceeding ESL, contact Javier Alvarez or Shaun Reilly. ",Xactimate,Use the most current price list provided by Xactimate® for your area.,"
Javier Alvarez 714-560-7829; PaolaLagunas 714-569-2824;  Robert Dalton 714-560-7811;  jaalvarez@firstam.com   sreilly@firstam.com   rddalton@firstam.com  IF SPECIALTY DRYING EQUIPMENT, CONTACT JAVIER ALVAREZ.  ",
First Mutual Insurance Company,4724-SF,4/20/2015,"NC, SC, TN",R & C,Yes.   ,"2,500 ",Xactimate uploaded through ScanER XL,Use the most current price list provided by Xactimate for your area.,"Kimberly Dular, Claims Manager, kdular@fmicnc.com; phone 855- FMIC-855 or 919-938-6733","Use DryBook Mobile. Notify adjuster if: contents cleaning or pack-out is probable, pre-existing damage, demolition; if source of loss is different from  reported/provided in the loss referral; if source is not known or not from plumbing system inside the home (possible ground water, flood, roof leak); if there is customer service issue or dispute in repairs with homeowner; if dry cleaning needed, ,f CAT 1 loss changes to a CAT 2 or CAT 3 .Written or verbal auth. is required for any demolition that might be required over and above removal of baseboards and carpet pad (such as removal of drywall, wood or laminate flooring, and built-in cabinets. Extent of required demolitiion should be discussed with First Mutual rep. or adjuster; documentation of approval must be noted in the file. Photos required for all non-restorable items. If insured will not authorize any mitigation work nor allow access to premises, ask policyholder to sign Refusal of Service form. MEASURE TO THE INCH. Desiccant dehus, air scrubbers, injectidry systems or other floor-drying systems require prior approval from adjuster. "
First State Ins. Co. - FOLLOW THE HARTFORD GUIDELINES,3739-F,8/11/2010,All U.S. States,R & C,Yes ,"2,000 ",Scaner,Refer to pricelist groups in bulletin,1-800-243-5860,refer to bulletin
Florida Family Insurance,3582-SF,11/16/2009,U.S. Franchises in FL,R,No,"2,500 ",Xactmate,Use the most current price list provided by Xactimate® for your area.,"(904) 312-5500
(888) 486-4663 (toll free)","Franchise must send e-ViewER® and
invoice to the adjuster to initiate payment. Florida Family will issue the check directly to
the Franchise within thirty (30) days, with insured and Franchise as co-payees."
Georgia Casualty (affiliate of Columbia Insurance),4277-SF,2/28/2013,"U. S. Franchises in AL, FL, GA, IL, IA, KS, KY, LA, MS, MO, NE, NM, NC, OK, SC, SD, TN, TX",R & C,Yes,"2,500 ",Xactimate,Use the most current price list provided by Xactimate for your area.,"During Business Hours: Call Assigned Adjuster or one of these branch offices: Atlanta, GA, 800-767-4080;  Austin, TX, 800-252-9641;  Columbia, MO, 800-877-3579;  Omaha, NE, 800-877-4245;  Salina, KS, 800-998-8902
After-Hours: John Killough, Phone 615-426-2664 (AFG Claims Service)","Contact Columbia Ins. Adjuster immediately in these cases: If insured wants to delay any part of the 1/4/8 procedure for an after-hours assignment; if an insured wants to cancel the claim prior to inspection; if an insured want to cancel the claim during initial deployment. Complete as much of Initial Report as possible. Take photos of risk if allowable by policyholder.  Protect salvageable items and leave on site. If removal is necessary, communicate with adjuster. Secure and leave undisturbed any area where cause and origin of loss by suspected subrogation."
Georgia Farm Bureau,3542-SF,8/12/2009,U.S. Franchises in GA,R,NO,"2,500 ",Xactimate,Use the most current price list provided by Xactimate® for your area.,"Paul Miller
706-575-0995","Franchise will send e-ViewER® and
invoice to the adjuster. Georgia Farm Bureau will issue the check directly to the
Franchise within 30 days, with insured as co-payee."
"GeoVera Holdings, Inc./GeoVera Specialty Insurance/GeoVera Insurance",3970-F,9/15/2011,All U.S. States,R,"Collect deductible on mitigation-only jobs. Jobs that require more than mitigation, GeoVera will apply the deductible elsewhere on the claim.","2,500 ",Xactimate; a separate Xactimate estimate is required for approved mold remediaton services.,Use the most current price list provided by XactimateÒ for your area,"Holly Wolf, Prop. Claims Mgr. for AL, GA, NC, SC, FL, VA;  850-219-5801; after hours 800-785-3085;                                  Pat Power, Claims Mgr. for CA, WA, OR, TX, OK, AR, KS, MO, AZ; 707-863-3748; after hours 800-785-3230

","Contact Adjuster immediately if insured refuses service; attempt to take photos of building and loss. Call after hours when safety or health issue or if cause of loss is differet than initially reported. Contact adjuster if potential salvage exists, packout, contents cleaning, demolition. Use DRYING WORKBOOK."
"Germania Insurance (Germania Farm Mutual Ins. Assn. GFMIA, Germania Select Ins., Germania Fire & Casualty)",3967-SF,9/2/2011,U. S. Franchises in TX,R & C,No,"2,500 ",Xactimate 27.3,Use the most current price list provided by Xactimate® for your area.,1-800-392-2202,"Germania Insurance requires utilization of the Drying Workbook on all residential
water losses."
GNIC of CT (Subsidiary of Fireman's Fund),3780-F,11/1/2010,All U.S. States,R & C,"NO.  Any coverage issues must be discussed with adjuster, not the insured.","2,500 ","Xactimate for these states:  CT, DE, DC, ME, MD, MA, NH, NJ, NY, PA, RI, VT, VA.                                                ScanER for all other states.  If adjuster requests Xactimate, contact National Accounts for approval.","For Xactimate: Use the most current price list provided by Xactimate for your area.                       For ScanER, use Trainer regional price list.","1) Assigned Adjuster
2) Fireman’s Fund: Phone 800-870-8857
","SNAPA Acct.  Fireman's Fund ATP must be used  (attached to bulletin 3780-F; also on ServproNET/SNAPA/Fireman's Fund/Forms). Add'l reasons to notify adjuster: If mitigation losses exceed : personal $20,000; commercial $50,000. If material is unique (bamboo, custom, expensive, etc.), whoe-house content manipulation, inability to service loss (due to size, complexity, etc.). Use DRYING WORKBOOK."
Golden Eagle,3752-F,9/7/2010,Only Participating Franchises,R,Yes,"2,500 ",Xactimate,Current price list,1-800-238-3085,SNAPA Acct.  Refer to bulletin
Golden Eagle,4034-F-2,7/28/2014,All U. S. States,C,"No, unless instructed by adjuster.","5,000 ","Under 100,000-Xactimate  Over 100,000-T&M with adjuster approval",Current price list,1-800-238-3085,SNAPA Acct.  Refer to bulletin
